,ЧИСЛЕННОСТЬ НАСЕЛЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ПОЛУ И ВОЗРАСТУ  на 1 января 2009г.,,,,,,,,,,
,,,,,(человек),,,,,,
,,,,,,,,,,,
,Возраст (лет),Год,Все население,,,Городское население,,,Сельское население,,
,,рожде-,мужчины ,мужчины,женщины,мужчины ,мужчины,женщины,мужчины ,мужчины,женщины
,,ния,и женщины,,,и женщины,,,и женщины,,
,,,,,,,,,,,
,0,2007,1702552 ,873919 ,828633 ,1185067 ,608621 ,576446 ,517485 ,265298 ,252187 
,1,2006,1595785 ,820394 ,775391 ,1111929 ,571967 ,539962 ,483856 ,248427 ,235429 
,2,2005,1465590 ,752483 ,713107 ,1036520 ,532756 ,503764 ,429070 ,219727 ,209343 
,3,2004,1442200 ,740375 ,701825 ,1026831 ,527276 ,499555 ,415369 ,213099 ,202270 
,4,2003,1485805 ,762856 ,722949 ,1056019 ,542800 ,513219 ,429786 ,220056 ,209730 
,0-4,,7691932 ,3950027 ,3741905 ,5416366 ,2783420 ,2632946 ,2275566 ,1166607 ,1108959 
,5,2002,1460008 ,750380 ,709628 ,1032385 ,531214 ,501171 ,427623 ,219166 ,208457 
,6,2001,1374724 ,703658 ,671066 ,964010 ,494223 ,469787 ,410714 ,209435 ,201279 
,7,2000,1281970 ,655779 ,626191 ,888621 ,454527 ,434094 ,393349 ,201252 ,192097 
,8,1999,1273712 ,651963 ,621749 ,869736 ,445645 ,424091 ,403976 ,206318 ,197658 
,9,1998,1252851 ,641652 ,611199 ,849402 ,435614 ,413788 ,403449 ,206038 ,197411 
,5-9,,6643265 ,3403432 ,3239833 ,4604154 ,2361223 ,2242931 ,2039111 ,1042209 ,996902 
,10,1997,1304515 ,667225 ,637290 ,880877 ,450733 ,430144 ,423638 ,216492 ,207146 
,11,1996,1276471 ,652366 ,624105 ,860604 ,440287 ,420317 ,415867 ,212079 ,203788 
,12,1995,1329129 ,679880 ,649249 ,894061 ,458057 ,436004 ,435068 ,221823 ,213245 
