,ЧИСЛЕННОСТЬ НАСЕЛЕНИЯ ПО  ПОЛУ И ВОЗРАСТУ     на   1   января  2010 г.,,,,,,,,,
,(человек),,,,,,,,,
,,,,,,,,,,
,Новгородская область,,,,,,,,,
,,,,,,,,,,
,Возраст (лет),Все население,,,Городское население,,,Сельское население,,
,,мужчины ,мужчины,женщины,мужчины ,мужчины,женщины,мужчины ,мужчины,женщины
,,и женщины,,,и женщины,,,и женщины,,
,,,,,,,,,,
,0,7124  ,3713  ,3411  ,4980  ,2594  ,2386  ,2144  ,1119  ,1025  
,1,6813  ,3525  ,3288  ,4722  ,2452  ,2270  ,2091  ,1073  ,1018  
,2,6921  ,3580  ,3341  ,4651  ,2440  ,2211  ,2270  ,1140  ,1130  
,0-2,20858  ,10818  ,10040  ,14353  ,7486  ,6867  ,6505  ,3332  ,3173  
,3,6350  ,3295  ,3055  ,4416  ,2286  ,2130  ,1934  ,1009  ,925  
,4,6147  ,3257  ,2890  ,4318  ,2303  ,2015  ,1829  ,954  ,875  
,0-4,33355  ,17370  ,15985  ,23087  ,12075  ,11012  ,10268  ,5295  ,4973  
,5,6349  ,3248  ,3101  ,4496  ,2300  ,2196  ,1853  ,948  ,905  
,3-5,18846  ,9800  ,9046  ,13230  ,6889  ,6341  ,5616  ,2911  ,2705  
,6,6230  ,3229  ,3001  ,4530  ,2371  ,2159  ,1700  ,858  ,842  
,1-6,38810  ,20134  ,18676  ,27133  ,14152  ,12981  ,11677  ,5982  ,5695  
,7,5991  ,3058  ,2933  ,4358  ,2233  ,2125  ,1633  ,825  ,808  
,8,5461  ,2793  ,2668  ,3909  ,1986  ,1923  ,1552  ,807  ,745  
,9,5211  ,2698  ,2513  ,3713  ,1914  ,1799  ,1498  ,784  ,714  
,5-9,29242  ,15026  ,14216  ,21006  ,10804  ,10202  ,8236  ,4222  ,4014  
,10,5103  ,2642  ,2461  ,3571  ,1854  ,1717  ,1532  ,788  ,744  
,11,5508  ,2933  ,2575  ,3879  ,2094  ,1785  ,1629  ,839  ,790  
,12,5279  ,2651  ,2628  ,3731  ,1879  ,1852  ,1548  ,772  ,776  
,13,5440  ,2857  ,2583  ,3804  ,2022  ,1782  ,1636  ,835  ,801  
,8-13,32002  ,16574  ,15428  ,22607  ,11749  ,10858  ,9395  ,4825  ,4570  
,0-13,83927  ,43479  ,40448  ,59078  ,30728  ,28350  ,24849  ,12751  ,12098  
,14,5766  ,2989  ,2777  ,3976  ,2018  ,1958  ,1790  ,971  ,819  
,10-14,27096  ,14072  ,13024  ,18961  ,9867  ,9094  ,8135  ,4205  ,3930  
,0-14,89693  ,46468  ,43225  ,63054  ,32746  ,30308  ,26639  ,13722  ,12917  
,15,5987  ,3028  ,2959  ,4173  ,2112  ,2061  ,1814  ,916  ,898  
,14-15,11753  ,6017  ,5736  ,8149  ,4130  ,4019  ,3604  ,1887  ,1717  
,16,5942  ,3110  ,2832  ,4081  ,2127  ,1954  ,1861  ,983  ,878  
,17,7083  ,3644  ,3439  ,4828  ,2492  ,2336  ,2255  ,1152  ,1103  
,16-17,13025  ,6754  ,6271  ,8909  ,4619  ,4290  ,4116  ,2135  ,1981  
,0-17,108705  ,56250  ,52455  ,76136  ,39477  ,36659  ,32569  ,16773  ,15796  
,18,7921  ,4011  ,3910  ,5461  ,2740  ,2721  ,2460  ,1271  ,1189  
,19,8661  ,4305  ,4356  ,5948  ,2963  ,2985  ,2713  ,1342  ,1371  
,15-19,35594  ,18098  ,17496  ,24491  ,12434  ,12057  ,11103  ,5664  ,5439  
,20,9725  ,4714  ,5011  ,6616  ,3133  ,3483  ,3109  ,1581  ,1528  
,21,10706  ,5443  ,5263  ,7415  ,3725  ,3690  ,3291  ,1718  ,1573  
,22,12205  ,6260  ,5945  ,8525  ,4270  ,4255  ,3680  ,1990  ,1690  
,23,11582  ,5971  ,5611  ,8152  ,4065  ,4087  ,3430  ,1906  ,1524  
,24,10374  ,5206  ,5168  ,7918  ,3848  ,4070  ,2456  ,1358  ,1098  
,20-24,54592  ,27594  ,26998  ,38626  ,19041  ,19585  ,15966  ,8553  ,7413  
,25,10907  ,5516  ,5391  ,8215  ,3918  ,4297  ,2692  ,1598  ,1094  
,26,10286  ,4791  ,5495  ,7859  ,3525  ,4334  ,2427  ,1266  ,1161  
,27,10223  ,4759  ,5464  ,7750  ,3512  ,4238  ,2473  ,1247  ,1226  
,28,9344  ,4443  ,4901  ,7107  ,3307  ,3800  ,2237  ,1136  ,1101  
,29,9746  ,4876  ,4870  ,7389  ,3635  ,3754  ,2357  ,1241  ,1116  
