,2.2.10.ЧИСЛЕННОСТЬ НАСЕЛЕНИЯ ПО  ПОЛУ И ВОЗРАСТУ     на   1   января  2015 г.,,,,,,,,,,,,,,
,(человек),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Новгородская область,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Возраст (лет),Все население,,,Городское население,,,Сельское население,,,,,,,
,,мужчины ,мужчины,женщины,мужчины ,мужчины,женщины,мужчины ,мужчины,женщины,,,,,
,,и женщины,,,и женщины,,,и женщины,,,,,,,
,,,,,,,,,,,,,,,
,0,7401  ,3822  ,3579  ,5265  ,2745  ,2520  ,2136  ,1077  ,1059  ,,,,,
,1,7339  ,3768  ,3571  ,5219  ,2691  ,2528  ,2120  ,1077  ,1043  ,,,,,
,2,7534  ,3843  ,3691  ,5268  ,2672  ,2596  ,2266  ,1171  ,1095  ,,,,,
,0-2,22274  ,11433  ,10841  ,15752  ,8108  ,7644  ,6522  ,3325  ,3197  ,,,,,
,3,7054  ,3662  ,3392  ,5078  ,2627  ,2451  ,1976  ,1035  ,941  ,,,,,
,4,6876  ,3559  ,3317  ,5004  ,2587  ,2417  ,1872  ,972  ,900  ,,,,,
,0-4,36204  ,18654  ,17550  ,25834  ,13322  ,12512  ,10370  ,5332  ,5038  ,,,,,
,5,6848  ,3588  ,3260  ,5028  ,2656  ,2372  ,1820  ,932  ,888  ,,,,,
,3-5,20778  ,10809  ,9969  ,15110  ,7870  ,7240  ,5668  ,2939  ,2729  ,,,,,
,6,6768  ,3523  ,3245  ,4920  ,2572  ,2348  ,1848  ,951  ,897  ,,,,,
,1-6,42419  ,21943  ,20476  ,30517  ,15805  ,14712  ,11902  ,6138  ,5764  ,,,,,
,7,6756  ,3490  ,3266  ,4899  ,2555  ,2344  ,1857  ,935  ,922  ,,,,,
,8,6188  ,3207  ,2981  ,4396  ,2268  ,2128  ,1792  ,939  ,853  ,,,,,
,9,5980  ,3154  ,2826  ,4318  ,2269  ,2049  ,1662  ,885  ,777  ,,,,,
,5-9,32540  ,16962  ,15578  ,23561  ,12320  ,11241  ,8979  ,4642  ,4337  ,,,,,
,10,6100  ,3094  ,3006  ,4453  ,2263  ,2190  ,1647  ,831  ,816  ,,,,,
,11,6028  ,3124  ,2904  ,4344  ,2268  ,2076  ,1684  ,856  ,828  ,,,,,
,12,5869  ,3019  ,2850  ,4272  ,2235  ,2037  ,1597  ,784  ,813  ,,,,, 
,13,5359  ,2743  ,2616  ,3816  ,1925  ,1891  ,1543  ,818  ,725  ,,,,,
