1.1.1. ЧИСЛЕННОСТЬ НАСЕЛЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ПОЛУ И ВОЗРАСТУ  на 1 января 2019 г. ,,,,,,,,,,
,,,,(человек),,,,,,
,,,,,,,,,,
Возраст (лет),Год,Все население,,,Городское население,,,Сельское население,,
,рожде-,мужчины ,мужчины,женщины,мужчины ,мужчины,женщины,мужчины ,мужчины,женщины
,ния,и женщины,,,и женщины,,,и женщины,,
,,,,,,,,,,
0,2018,1598669,824410,774259,1200345,619146,581199,398324,205264,193060
1,2017,1683458,865194,818264,1267733,651381,616352,415725,213813,201912
2,2016,1881242,966326,914916,1429177,733885,695292,452065,232441,219624
3,2015,1933405,993789,939616,1462098,751290,710808,471307,242499,228808
4,2014,1935659,995237,940422,1400408,720019,680389,535251,275218,260033
0-4,-,9032433,4644956,4387477,6759761,3475721,3284040,2272672,1169235,1103437
5,2013,1918167,984759,933408,1384942,711167,673775,533225,273592,259633
6,2012,1925828,989916,935912,1388134,714290,673844,537694,275626,262068
7,2011,1822386,936242,886144,1310004,672350,637654,512382,263892,248490
8,2010,1698852,871613,827239,1227685,630088,597597,471167,241525,229642
9,2009,1719642,881939,837703,1235149,633587,601562,484493,248352,236141
5-9,-,9084875,4664469,4420406,6545914,3361482,3184432,2538961,1302987,1235974
10,2008,1711181,875666,835515,1212236,620350,591886,498945,255316,243629
11,2007,1619674,830460,789214,1143870,586388,557482,475804,244072,231732
12,2006,1493543,764591,728952,1065091,545089,520002,428452,219502,208950
13,2005,1496852,764318,732534,1072654,547359,525295,424198,216959,207239
14,2004,1503921,769734,734187,1068226,546696,521530,435695,223038,212657
10-14,-,7825171,4004769,3820402,5562077,2845882,2716195,2263094,1158887,1104207
15,2003,1487524,761918,725606,1057749,541664,516085,429775,220254,209521
16,2002,1436871,735854,701017,1036781,530731,506050,400090,205123,194967
17,2001,1348549,690861,657688,980885,501791,479094,367664,189070,178594
18,2000,1374352,701185,673167,1024024,520663,503361,350328,180522,169806
19,1999,1300047,662252,637795,956789,483715,473074,343258,178537,164721
15-19,-,6947343,3552070,3395273,5056228,2578564,2477664,1891115,973506,917609
20,1998,1357317,690179,667138,984480,496667,487813,372837,193512,179325
21,1997,1318974,669101,649873,952092,480808,471284,366882,188293,178589
22,1996,1396366,712373,683993,995671,505614,490057,400695,206759,193936
23,1995,1485125,757987,727138,1064601,537163,527438,420524,220824,199700
24,1994,1556286,797457,758829,1143150,578942,564208,413136,218515,194621
20-24,-,7114068,3627097,3486971,5139994,2599194,2540800,1974074,1027903,946171
25,1993,1595627,818307,777320,1201989,601578,600411,393638,216729,176909
26,1992,1841218,939393,901825,1458729,721389,737340,382489,218004,164485
27,1991,2047888,1049697,998191,1636527,820996,815531,411361,228701,182660
28,1990,2347615,1196313,1151302,1859196,924466,934730,488419,271847,216572
29,1989,2389691,1210373,1179318,1878529,928567,949962,511162,281806,229356
25-29,-,10222039,5214083,5007956,8034970,3996996,4037974,2187069,1217087,969982
30,1988,2494124,1258684,1235440,1946935,958201,988734,547189,300483,246706
31,1987,2607827,1317497,1290330,2028185,1000959,1027226,579642,316538,263104
32,1986,2586925,1300259,1286666,2014528,991538,1022990,572397,308721,263676
33,1985,2548484,1270291,1278193,1996825,976117,1020708,551659,294174,257485
34,1984,2480253,1238503,1241750,1939482,951966,987516,540771,286537,254234
30-34,-,12717613,6385234,6332379,9925955,4878781,5047174,2791658,1506453,1285205
35,1983,2525152,1258417,1266735,1975798,969106,1006692,549354,289311,260043
36,1982,2367767,1174484,1193283,1847080,901701,945379,520687,272783,247904
37,1981,2252541,1114302,1138239,1752879,854531,898348,499662,259771,239891
38,1980,2392390,1180510,1211880,1872048,912543,959505,520342,267967,252375
39,1979,2197509,1078211,1119298,1699894,823582,876312,497615,254629,242986
35-39,-,11735359,5805924,5929435,9147699,4461463,4686236,2587660,1344461,1243199
40,1978,2178280,1059576,1118704,1679120,806615,872505,499160,252961,246199
41,1977,2106280,1018247,1088033,1615014,770938,844076,491266,247309,243957
42,1976,2122326,1023742,1098584,1624490,774092,850398,497836,249650,248186
43,1975,2136784,1024775,1112009,1635218,774850,860368,501566,249925,251641
44,1974,2050523,983898,1066625,1557539,739328,818211,492984,244570,248414
40-44,-,10594193,5110238,5483955,8111381,3865823,4245558,2482812,1244415,1238397
45,1973,1988870,953188,1035682,1511767,716989,794778,477103,236199,240904
46,1972,1992646,952733,1039913,1506513,711891,794622,486133,240842,245291
47,1971,1917255,918126,999129,1439784,682139,757645,477471,235987,241484
48,1970,1991097,955987,1035110,1502754,714041,788713,488343,241946,246397
49,1969,1784142,846544,937598,1318979,617006,701973,465163,229538,235625
45-49,-,9674010,4626578,5047432,7279797,3442066,3837731,2394213,1184512,1209701
50,1968,1757112,830220,926892,1283724,596937,686787,473388,233283,240105
51,1967,1721290,806453,914837,1248628,574282,674346,472662,232171,240491
52,1966,1773578,823577,950001,1277251,581082,696169,496327,242495,253832
53,1965,1869349,863709,1005640,1355706,613316,742390,513643,250393,263250
54,1964,1899205,868052,1031153,1370274,611883,758391,528931,256169,272762
50-54,-,9020534,4192011,4828523,6535583,2977500,3558083,2484951,1214511,1270440
55,1963,2029755,922906,1106849,1460025,647622,812403,569730,275284,294446
56,1962,2097065,942356,1154709,1509234,659669,849565,587831,282687,305144
57,1961,2185691,976857,1208834,1570619,681048,889571,615072,295809,319263
58,1960,2340134,1042275,1297859,1691424,731422,960002,648710,310853,337857
59,1959,2158048,939642,1218406,1546800,650513,896287,611248,289129,322119
55-59,-,10810693,4824036,5986657,7778102,3370274,4407828,3032591,1453762,1578829
60,1958,2132439,915900,1216539,1536390,637544,898846,596049,278356,317693
61,1957,2056249,873688,1182561,1482520,607666,874854,573729,266022,307707
62,1956,1966277,818315,1147962,1426079,573006,853073,540198,245309,294889
63,1955,1955234,798090,1157144,1429251,563588,865663,525983,234502,291481
64,1954,1916762,767988,1148774,1403846,543638,860208,512916,224350,288566
60-64,-,10026961,4173981,5852980,7278086,2925442,4352644,2748875,1248539,1500336
65,1953,1711020,676674,1034346,1261832,482644,779188,449188,194030,255158
66,1952,1703860,662985,1040875,1259362,473765,785597,444498,189220,255278
67,1951,1612335,618531,993804,1198192,445037,753155,414143,173494,240649
68,1950,1586503,606528,979975,1192986,444002,748984,393517,162526,230991
69,1949,1564953,579631,985322,1173390,420684,752706,391563,158947,232616
65-69,-,8178671,3144349,5034322,6085762,2266132,3819630,2092909,878217,1214692
70,1948,1268102,463514,804588,962262,341700,620562,305840,121814,184026
71,1947,1208864,435187,773677,928121,326405,601716,280743,108782,171961
72,1946,1057380,370098,687282,814695,279589,535106,242685,90509,152176
73,1945,636895,220565,416330,502713,171952,330761,134182,48613,85569
74,1944,463984,155562,308422,359010,118920,240090,104974,36642,68332
70-74,-,4635225,1644926,2990299,3566801,1238566,2328235,1068424,406360,662064
75,1943,416283,136740,279543,311222,101745,209477,105061,34995,70066
76,1942,596192,183095,413097,435151,131857,303294,161041,51238,109803
77,1941,891033,263624,627409,651748,190342,461406,239285,73282,166003
78,1940,928552,272537,656015,676702,197511,479191,251850,75026,176824
79,1939,953094,265926,687168,691328,189988,501340,261766,75938,185828
75-79,-,3785154,1121922,2663232,2766151,811443,1954708,1019003,310479,708524
80,1938,899505,242780,656725,653186,173303,479883,246319,69477,176842
81,1937,853578,233230,620348,631893,169948,461945,221685,63282,158403
82,1936,634072,169078,464994,452985,118959,334026,181087,50119,130968
83,1935,509451,133444,376007,364440,94075,270365,145011,39369,105642
84,1934,360157,90952,269205,257615,64177,193438,102542,26775,75767
80-84,-,3256763,869484,2387279,2360119,620462,1739657,896644,249022,647622
85,1933,303743,73999,229744,215816,51772,164044,87927,22227,65700
86,1932,331105,78917,252188,233654,54791,178863,97451,24126,73325
87,1931,281600,66287,215313,200345,46668,153677,81255,19619,61636
88,1930,295374,71327,224047,208671,50755,157916,86703,20572,66131
89,1929,214739,47323,167416,152787,33669,119118,61952,13654,48298
85-89,-,1426561,337853,1088708,1011273,237655,773618,415288,100198,315090
90,1928,190142,40556,149586,134867,29147,105720,55275,11409,43866
91,1927,141890,31152,110738,102816,23297,79519,39074,7855,31219
92,1926,108791,23571,85220,79395,17768,61627,29396,5803,23593
93,1925,79573,16802,62771,58627,12835,45792,20946,3967,16979
94,1924,57504,11853,45651,42314,8856,33458,15190,2997,12193
